timestamp,artist,song,genre,duration_seconds,full_duration,completion_rate,mood,activity,day_of_week,hour,month
2024-01-01 03:35:00,Tame Impala,Let It Happen,Indie Rock,206,206,1.0,Chill,Relaxing,Monday,3,January
2024-01-01 15:01:00,Arctic Monkeys,Do I Wanna Know?,Alternative,219,219,1.0,Happy,Working Out,Monday,15,January
2024-01-01 17:31:00,Kendrick Lamar,DNA.,Hip Hop,151,216,0.7,Melancholic,Commuting,Monday,17,January
2024-01-01 18:52:00,The Strokes,The Adults Are Talking,Alternative,215,215,1.0,Melancholic,Partying,Monday,18,January
2024-01-02 02:17:00,Taylor Swift,Anti-Hero,Pop,130,186,0.7,Energetic,Relaxing,Tuesday,2,January
2024-01-02 11:59:00,The Strokes,The Adults Are Talking,Alternative,140,280,0.5,Melancholic,Working,Tuesday,11,January
2024-01-03 16:09:00,The Weeknd,Save Your Tears,Pop,249,249,1.0,Melancholic,Working Out,Wednesday,16,January
2024-01-03 20:58:00,Bonobo,Cirrus,Electronic,229,229,1.0,Chill,Partying,Wednesday,20,January
2024-01-04 11:14:00,Arctic Monkeys,Do I Wanna Know?,Alternative,236,236,1.0,Focused,Commuting,Thursday,11,January
2024-01-04 11:59:00,Fleet Foxes,Mykonos,Folk,240,240,1.0,Energetic,Working,Thursday,11,January
2024-01-04 21:56:00,Arctic Monkeys,505,Alternative,220,220,1.0,Energetic,Commuting,Thursday,21,January
2024-01-05 02:21:00,Arctic Monkeys,Do I Wanna Know?,Alternative,289,289,1.0,Focused,Working Out,Friday,2,January
2024-01-05 11:44:00,Kamasi Washington,The Next Step,Jazz,140,200,0.7,Melancholic,Working Out,Friday,11,January
2024-01-06 15:55:00,Bonobo,Cirrus,Electronic,202,202,1.0,Energetic,Working Out,Saturday,15,January
2024-01-07 13:52:00,The Strokes,The Adults Are Talking,Alternative,158,226,0.7,Focused,Partying,Sunday,13,January
2024-01-07 16:37:00,Bonobo,Kerala,Electronic,197,197,1.0,Chill,Working,Sunday,16,January
2024-01-08 09:31:00,Taylor Swift,Anti-Hero,Pop,255,255,1.0,Chill,Commuting,Monday,9,January
2024-01-08 15:43:00,Fleet Foxes,White Winter Hymnal,Folk,187,187,1.0,Melancholic,Commuting,Monday,15,January
